field_id,field_display_name,domain_display_name,topic_count
https://openalex.org/fields/15,Chemical Engineering,Physical Sciences,13
https://openalex.org/fields/16,Chemistry,Physical Sciences,101
https://openalex.org/fields/17,Computer Science,Physical Sciences,302
https://openalex.org/fields/19,Earth and Planetary Sciences,Physical Sciences,57
https://openalex.org/fields/21,Energy,Physical Sciences,27
https://openalex.org/fields/22,Engineering,Physical Sciences,560
https://openalex.org/fields/23,Environmental Science,Physical Sciences,202
https://openalex.org/fields/25,Materials Science,Physical Sciences,123
https://openalex.org/fields/26,Mathematics,Physical Sciences,82
https://openalex.org/fields/31,Physics and Astronomy,Physical Sciences,104
